	NOMS	Occurence
294	Extrait du Rapport annuel de 1912 de la province de Vinh-Yen	1
295	Extraits des Rapports médicaux annuels de 1911 	1
296	F. A. A. Clayton	1
297	F. Borrey	1
298	F. Borrey. I	1
299	F. Cazanove	1
300	F. Clément 	1
301	F. Guichard	5
302	F. Heckenroth	1
303	F. J. Vernier 	1
304	F. Legendre	1
305	F. M. A. Legendre 	1
306	F. Montalieu	1
307	F. Noc	4
308	F. Noc 	2
309	F. Ramond	1
310	F. Toullec	1
311	F.-M.-A. Legendre 	1
312	Fabry	2
313	Fagon	2
314	Farges	2
315	Fargier	1
316	Feray	1
317	Feray. 	1
318	Ferraud	3
319	Ferris	1
320	Ferré	3
321	Fonquernie	3
322	Fontaine(1)	1
323	Fournials	2
324	Fournials. I	1
325	Fr Turié	1
326	Fr.Turié	1
327	Fraissinet	1
328	Franck Guichard	3
329	Frontgous	1
330	Fréville	1
331	Fulconis	3
332	Féray	1
333	G Blin	1
334	G. Barbézieux 	1
335	G. Blin	1
336	G. Bourret	2
337	G. Delourmel	1
338	G. Girard	5
339	G. Grall	2
340	G. Hudellet	2
341	G. J. Stefanopoulo 	1
342	G. Lavier	2
343	G. Ledentu	5
344	G. Lefrou	2
345	G. Lefrou 	2
346	G. Martin	2
347	G. Martin 	2
348	G. Mathis	1
349	G. Merveilleux	1
350	G. Milian 	1
351	G. Moustardier	1
352	G. Nicolle	3
353	G. Pille	1
354	G. Saleun	2
355	G.Blin	1
356	Gabriel Lambert	4
357	Gaetano Gaglio	1
358	Gaide	21
359	Gaide 	1
360	Gaignaire	1
361	Gall	3
362	Gallas	3
363	Gallay	2
364	Garnier	3
365	Garnier (J.-A)	1
366	Garrot	2
367	Gascougnolle	1
368	Gast	2
369	Gastaud	1
370	Gaudier	1
371	Gauducheau	7
372	Gauducheau. 	1
373	Gaulène	2
374	Gautier	3
375	Gayrard	1
376	Genevray	1
377	Gentilhomme	1
378	Georgelin	3
379	Georges Grall	1
380	Georges Lambert	9
381	Gilbert-Desvallons	1
382	Girard	1
383	Giudice	1
384	Giudicelli	1
385	Gorosaku Shibayama	1
386	Gouin	1
387	Gourmelon	1
388	Gourvil	1
389	Gouzien 	1
390	Grall	1
391	Grattan	1
392	Gravellat	3
393	Gravot	8
394	Gries	3
395	Grimes	1
396	Griscelli	2
397	Grizaud	1
398	Grosfilez	1
399	Grosfillez	3
400	Grosperrin	1
401	Guerchet	1
402	Guerrero	1
403	Guibert	1
404	Guichard	2
405	Guillemet	7
406	Guillet	1
407	Guillon	4
408	Gustave Martin	6
409	Gustave Raynaud	1
410	Gustave Reynaud	2
411	Guédon 	1
412	Génevray	1
413	H. Aubin	2
414	H. Campbell Highet	1
415	H. Floch	2
416	H. G	1
417	H. Marneffe	1
418	H. Patenostre. Chapitre premier	1
419	H. Sergent 	1
420	H.-M. Monier	1
421	Hagen	1
422	Hans Aron	1
423	Hans Ziemann	1
424	Harismendy	1
425	Hazard	1
426	Heckenro	1
427	Heckenroth	5
428	Heiman 	1
429	Henri Vergoz	1
430	Henric	4
431	Henry	1
432	Henry Fraser	1
433	Henry Fraser 	1
434	Henry G. S. Morin 	2
435	Henry J. Nichols	1
436	Hermant	4
437	Hervé	1
438	Hervé Floch	1
439	Hesnard	1
440	Heusch	2
441	Heymann	1
442	Hilleret	2
443	Houillon	3
444	Houphouet	1
445	Huard	1
446	Huchon	1
447	Huet	1
448	Huot	6
449	Huot. A	1
450	Hébrard	1
451	Hénaff	2
452	Hérivaux	1
453	Ilbert	1
454	J Auber	1
455	J-C Baurac	1
456	J-M. Imbert	1
457	J. A. Leitner	1
458	J. Babl	1
459	J. Baré	1
460	J. Boulnois	1
461	J. Cloitre	1
462	J. Decorse	1
463	J. E. Martial	2
464	J. E. Martial 	2
465	J. Gaide	1
466	J. Guibert	1
467	J. Laigr	1
468	J. Lambert	2
469	J. Lancepleine	1
470	J. Laurent	1
471	J. Legendre	5
472	J. Legendre 	2
473	J. M. Guibert 	1
474	J. Malval	1
475	J. Marchat	1
476	J. Nogué	1
477	J. P. Pluchon 	2
478	J. Peyrot	1
479	J. R. P. Boulnois	1
480	J. Rigaud	1
481	J. Thézé	1
482	J. Tisseuil	1
483	J. Vassal	1
484	J. de Goyon	1
485	J. de Haan	1
486	J.-A Bussière	2
487	J.-A Chabaneix	1
488	J.-A. Bussière	1
489	J.-A. Fabre 	1
490	J.-Abussière	1
491	J.-B. Ferrandini	1
492	J.-B. Ranjeva 	1
493	J.-C Baurac	1
494	J.-C. Perier	1
495	J.-E. Martial 	1
496	J.-E. Martial. I	1
497	J.-J. Vassal	3
498	J.-L. Mathis	1
499	J.-L.-M. Mathis	1
500	J.-M. Imbert	2
501	J.-M.-J. Vassal	1
502	J.-M.-R. Dumas 	1
503	J.-P. Léger	1
504	J.-P. Pluchon	1
505	J.Camail	1
506	J.Robic	1
507	Jacquier	1
508	Jacquin	2
509	Jambon	1
510	James F. Allen	1
511	James Hastie	1
512	Jamot	2
513	Jarland	3
514	Jaulin du Seutre	1
515	Jauneau	1
516	Jauréguiber	1
517	Jean Guibert	1
518	Jean Legendre	4
