	NOM (Prenom)	Recherche_G-nbr	Recherche_NomPrenom-nbr
187	DONATIEN (A.)	122	1
188	DOPTER (CH.)	3	1
189	DORE (G.)	254	3
190	DOREAU (P.)	29	0
191	DU BOURGUET	0	7
192	DUBOIS (A.)	2142	20
193	DUBRUEL (C.M.E.)	10	0
194	DUCHAMP (J.-C.)	85	1
195	DUKODGEHÉ (W.)	0	0
196	DUMAS (R.)	961	4
197	DUPONT (V.)	1334	0
198	EMILY (J.)	901	11
199	ESCOMEL (E.)	8	0
200	ESPÉRANDIEU (G.)	16	0
201	ESQUIER (A.)	11	0
202	EYRAUD (A.)	104	1
203	EYRAUD (R.)	104	1
204	FABRE (HENRI)	1156	21
205	FANTHAM (H. F.)	1	0
206	FAUQUET	62	62
207	FEYTAUD (J.)	5	1
208	FINZI (G.)	53	0
209	FIORI (C.)	85	0
210	FLEURY (A.)	711	10
211	FLOURENS	19	19
212	FOLEY (H.)	150	2
213	FONTOYNONT (M.)	3	0
214	FOSSEY (A. M. DE)	33	1
215	FRANÇA (C.)	401	0
216	FRANCHINI (G.)	56	1
217	FROILANO DE MELLO()	0	1
218	FRONVILLE (G.)	8	0
219	GABBI (U.)	8	0
220	GAIDE (L.)	19	0
221	GALASESCO()	1	1
222	GAMBIER (A.)	67	1
223	GASPERI (F. DE)	30	0
224	GASTOU (P.)	19	0
225	GAUDUCHEAU (A.)	19	0
226	GAUTHIER (F.)	1468	4
227	GEDOELST (L.)	1	0
228	GENDRE (E.)	174	1
229	GÉRARD (P.)	9723	38
230	GERY (L.)	108	1
231	GILLOT (V.)	161	0
232	GILRUTH (J.A.)	2	1
233	GIOVANNI DI DONIZIO()	0	255
234	GIRARD	1606	1606
235	GOBERT (E.)	177	0
236	GONZALEZ MARTINEZ (I.)	0	0
237	GONZALEZ-LUGO	0	0
238	GOUILLON (P.)	8	0
239	GOUZIEN (P.)	14	0
240	GRALL (CH.)	109	0
241	GRANJUX (E.)	3	0
242	GRAY (A.C.H.)	868	0
243	GREGGIO (Père G.)	6	0
244	GRENIER (M.)	406	3
245	GRENIER()	406	406
246	GRIEWANK (H.)	2	0
247	GROS (H.)	636	1
248	GUYOMARC’H	27	27
249	HARTMANN (CHARLES)	711	4
250	HAVET (J.)	54	1
251	HAYAT (A.)	163	2
252	HECKENROTH (F.)	17	0
253	HEMPL (H.)	1	0
254	HENRY (A.)	10293	160
255	HENRY (A.)	10293	160
256	HENRY (V.)	10293	31
257	HEYMANN (P.)	113	0
258	HINDLE (EDW.)	17	0
259	HOUSSAY (B.A.)	23	0
260	HOUSSIAU (J.)	5	1
261	HOVASSE	14	14
262	HUDELLET (G.)	2	0
263	HUET	544	544
264	HUSNOT (P.)	3	0
265	IMAN (T.)	143	0
266	ISAMBERT	50	50
267	ISMERT (R.)	2	0
268	IWANOFF (Z.A.)	8	0
269	JAMOT (E.)	26	1
270	JANNOT (A.)	48	0
271	JAVELLY (E.)	0	0
272	JEANSELME (E.)	10	0
273	JEMMA (R.)	24	0
274	JOJOT (CH.)	1	0
275	JOLLY (R.)	275	2
276	JOUENNE	46	46
277	JOUIN (A.)	64	1
278	JOUKOWSKY (A.)	4	0
279	JOUVEAU-DUBREUIL (H.)	2	1
280	JOYEUX (C.)	108	0
281	JOYEUX (CH.)	108	1
282	KARPOFF (A.N.)	4	0
283	KÉRANDEL (J.)	0	0
284	KERMOGANT (Alexandre)	0	0
285	KERMOGANT (Alexandre)	0	0
286	KERNÉIS (J.)	26	0
287	KERVRANN (P.)	1	0
288	KIWTET DE JONGE (G.-H.)	0	0
289	KOBNILOFF (M.-I.)	0	0
290	KOHL-YAKIMOFF (Nina)	0	0
291	KOLPAKOFF (F.-A.)	0	0
292	KOLPAKOFF (T.-A.)	0	0
293	KOPKE (A)	20	1
294	KORNILOFF (M.-T.)	2	0
295	KOSELKINE (P.-M.)	0	0
296	KOULECHIA	0	0
297	KOUN (L.)	7	0
298	KROLUNITZKI (G.)	0	0
299	LA CAVA (F.)	0	0
300	LABONNOTTE (X.)	1	0
301	LACASSAGNE (A.)	41	2
302	LACAZE (H.)	174	1
303	LACROIX (A.)	953	15
304	LAFONT (A.)	305	5
305	LAFONT (A.)	305	5
306	LAGANE (L.)	14	0
307	LAGRANGE (E.)	307	1
308	LAGRIFFOUL (A.)	7	0
309	LALUNG-BONNAIRE (P.)	0	0
310	LAMBERT (G.)	2041	10
311	LAMBERT (P.)	2041	10
312	LAMOUREUX (A.)	127	1
313	LANDES (L.)	91	3
314	LANFRANCHI (ALESSANDRO)	81	1
315	LANGERON (MAURICE)	32	1
316	LANZENBERG (A.)	6	1
317	LAPIN	38	38
318	LAPIN (J.)	38	0
319	LARROUSSE (F.)	10	0
320	LAUNOY()	13	13
321	LAURENT (A.)	10986	37
322	LAVEAU (M.)	24	0
323	LAVERAN (Alphonse)	4	1
324	LAVIER (G.)	13	0
325	LE DANTEC (A.)	0	1
326	LE DENTU (A.)	0	0
327	LE GALLEN (R.)	0	0
328	LEBAILLY (CH.)	41	0
329	LEBŒUF (A.)	14	0
330	LECOMTE (A.)	572	1
331	LECOMTE (A.)	572	1
332	LEDOUX (ED.)	272	0
333	LEDUC (H.)	347	0
334	LEFROU ()	5	5
335	LEGENDRE (J.)	343	3
336	LEGER (A.)	623	9
337	LEGER (MARCEL)	623	4
338	LEGRAS (S.)	124	0
339	LEGROUX (R.)	22	0
340	LEMAIRE (G.)	775	6
341	LEMAIRE (H.)	775	1
342	LEMOINE (G.H.)	683	1
343	LESAGE (A.)	368	3
344	LETULLE (M.)	4	0
345	LEVADITI (C.)	2	0
346	LEVY (E.)	1894	16
347	LIGNIÈRES (J.)	23	0
348	LIGNOS (A.)	1	0
349	LINDENBERG (A.)	43	0
350	LOMBARD()	434	434
351	LOSTIE (L.)	3	0
352	MACHADO (A.)	506	12
353	MACIEL (J.-J.)	90	0
354	MACIEL (J.)	90	1
355	MANAUD (A.)	14	0
356	MANCEAUX (L.)	26	0
357	MANDOUL (H.)	11	0
358	MANGENIE (S -E.)	0	0
359	MANSION (G)	37	0
360	MANSION (J.)	37	1
361	MANTOVANI (M.)	95	2
362	MARCANDIER (A.)	5	0
363	MARCHETTI (C.)	228	2
364	MARCHOUX (Emile)	3	1
365	MARIN()	1246	1246
366	MARQUE (J.-M.)	105	0
367	MARTIAL (R.)	706	1
368	MARTIN (Gustave)	18460	11
369	MARTIN (Louis) 	18460	151
