36	A. Vivie	2	A.%20AND%20Vivie	https://www.idref.fr/Sru/Solr?q=persname_t:(A.%20AND%20VIVIE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
38	A.-B. Pic	1	A.-B.%20AND%20Pic	https://www.idref.fr/Sru/Solr?q=persname_t:(A.-B.%20AND%20PIC)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
39	A.-D. Morel.	1	A.-D.%20AND%20Morel.	https://www.idref.fr/Sru/Solr?q=persname_t:(A.-D.%20AND%20MOREL.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
40	A.Kermorgant	1	A.Kermorgant	https://www.idref.fr/Sru/Solr?q=persname_t:(A.KERMORGANT)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
41	Abbattucci	1	Abbattucci	https://www.idref.fr/Sru/Solr?q=persname_t:(ABBATTUCCI)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
44	Advier	3	Advier	https://www.idref.fr/Sru/Solr?q=persname_t:(ADVIER)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
48	Albert Pairault	1	Albert%20AND%20Pairault	https://www.idref.fr/Sru/Solr?q=persname_t:(ALBERT%20AND%20PAIRAULT)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
52	Allain. I	1	Allain.%20AND%20I	https://www.idref.fr/Sru/Solr?q=persname_t:(ALLAIN.%20AND%20I)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
53	Allan Mc Laughlin	1	Allan%20AND%20Mc%20AND%20Laughlin	https://www.idref.fr/Sru/Solr?q=persname_t:(ALLAN%20AND%20MC%20AND%20LAUGHLIN)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
60	André dit Duvignaud	1	André%20AND%20dit%20AND%20Duvignaud	https://www.idref.fr/Sru/Solr?q=persname_t:(ANDRE%20AND%20DIT%20AND%20DUVIGNAUD)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
