	NOMS	Recherche_G-nbr
305	F. M. A. Legendre 	2
306	F. Montalieu	0
307	F. Noc	0
308	F. Noc 	0
309	F. Ramond	0
310	F. Toullec	0
311	F.-M.-A. Legendre 	0
312	Fabry	123
313	Fagon	10
314	Farges	65
315	Fargier	44
316	Feray	35
317	Feray. 	35
318	Ferraud	7
319	Ferris	104
320	Ferré	302
321	Fonquernie	13
322	Fontaine(1)	7776
323	Fournials	6
324	Fournials. I	0
325	Fr Turié	0
326	Fr.Turié	0
327	Fraissinet	27
328	Franck Guichard	0
329	Frontgous	1
330	Fréville	44
331	Fulconis	16
332	Féray	35
333	G Blin	0
334	G. Barbézieux 	0
335	G. Blin	0
336	G. Bourret	0
337	G. Delourmel	0
338	G. Girard	8
339	G. Grall	1
340	G. Hudellet	0
341	G. J. Stefanopoulo 	0
342	G. Lavier	0
343	G. Ledentu	0
344	G. Lefrou	0
345	G. Lefrou 	0
346	G. Martin	112
347	G. Martin 	112
348	G. Mathis	0
349	G. Merveilleux	0
350	G. Milian 	0
351	G. Moustardier	0
352	G. Nicolle	1
353	G. Pille	0
354	G. Saleun	0
355	G.Blin	0
356	Gabriel Lambert	5
357	Gaetano Gaglio	0
358	Gaide	19
359	Gaide 	19
360	Gaignaire	6
361	Gall	614
362	Gallas	39
363	Gallay	54
364	Garnier	1193
365	Garnier (J.-A)	0
366	Garrot	23
367	Gascougnolle	4
368	Gast	79
369	Gastaud	45
370	Gaudier	18
371	Gauducheau	19
372	Gauducheau. 	19
373	Gaulène	5
374	Gautier	1277
375	Gayrard	28
376	Genevray	8
377	Gentilhomme	62
378	Georgelin	30
379	Georges Grall	1
380	Georges Lambert	11
381	Gilbert-Desvallons	3
382	Girard	1606
383	Giudice	75
384	Giudicelli	85
385	Gorosaku Shibayama	0
386	Gouin	127
387	Gourmelon	38
388	Gourvil	19
389	Gouzien 	19
390	Grall	109
391	Grattan	26
392	Gravellat	0
393	Gravot	14
394	Gries	41
395	Grimes	87
396	Griscelli	9
397	Grizaud	2
398	Grosfilez	0
399	Grosfillez	0
400	Grosperrin	15
401	Guerchet	4
402	Guerrero	489
403	Guibert	355
404	Guichard	426
405	Guillemet	73
406	Guillet	315
407	Guillon	370
408	Gustave Martin	11
409	Gustave Raynaud	1
410	Gustave Reynaud	1
411	Guédon 	1
412	Génevray	8
413	H. Aubin	3
414	H. Campbell Highet	0
415	H. Floch	98
416	H. G	753
417	H. Marneffe	0
418	H. Patenostre. Chapitre premier	0
419	H. Sergent 	0
420	H.-M. Monier	0
421	Hagen	322
422	Hans Aron	0
423	Hans Ziemann	1
424	Harismendy	8
425	Hazard	98
426	Heckenro	0
427	Heckenroth	17
428	Heiman 	17
429	Henri Vergoz	1
430	Henric	62
431	Henry	10293
432	Henry Fraser	7
433	Henry Fraser 	7
434	Henry G. S. Morin 	7
435	Henry J. Nichols	1
436	Hermant	95
437	Hervé	4387
438	Hervé Floch	7
439	Hesnard	10
440	Heusch	26
441	Heymann	113
442	Hilleret	5
443	Houillon	45
444	Houphouet	5
445	Huard	137
446	Huchon	32
447	Huet	544
448	Huot	148
449	Huot. A	1
450	Hébrard	125
451	Hénaff	138
452	Hérivaux	3
453	Ilbert	7
454	J Auber	0
455	J-C Baurac	1
456	J-M. Imbert	1
457	J. A. Leitner	0
458	J. Babl	0
459	J. Baré	2
460	J. Boulnois	1
461	J. Cloitre	0
462	J. Decorse	1
463	J. E. Martial	0
464	J. E. Martial 	0
465	J. Gaide	2
466	J. Guibert	6
467	J. Laigr	0
468	J. Lambert	27
469	J. Lancepleine	0
470	J. Laurent	40
471	J. Legendre	3
472	J. Legendre 	3
473	J. M. Guibert 	3
474	J. Malval	0
475	J. Marchat	0
476	J. Nogué	0
477	J. P. Pluchon 	0
478	J. Peyrot	2
479	J. R. P. Boulnois	0
480	J. Rigaud	7
481	J. Thézé	0
482	J. Tisseuil	0
483	J. Vassal	0
484	J. de Goyon	0
485	J. de Haan	8
486	J.-A Bussière	0
487	J.-A Chabaneix	0
488	J.-A. Bussière	0
489	J.-A. Fabre 	0
490	J.-Abussière	0
491	J.-B. Ferrandini	0
492	J.-B. Ranjeva 	0
493	J.-C Baurac	1
494	J.-C. Perier	0
495	J.-E. Martial 	0
496	J.-E. Martial. I	0
497	J.-J. Vassal	0
498	J.-L. Mathis	0
499	J.-L.-M. Mathis	0
500	J.-M. Imbert	1
501	J.-M.-J. Vassal	0
502	J.-M.-R. Dumas 	0
503	J.-P. Léger	0
504	J.-P. Pluchon	0
505	J.Camail	0
506	J.Robic	0
507	Jacquier	162
508	Jacquin	224
509	Jambon	50
510	James F. Allen	2
511	James Hastie	1
512	Jamot	26
513	Jarland	0
514	Jaulin du Seutre	1
515	Jauneau	25
516	Jauréguiber	1
517	Jean Guibert	27
518	Jean Legendre	23
519	Jeansotte	1
520	Jojot	1
521	Jolly	275
522	Jonchère	15
523	Jourdran	1
524	Jouveau-Dubreuil	2
525	Joyeux	108
526	Jud	27
527	Kerandel	0
528	Kermorgant	13
529	Kermorgant. A	0
530	Kernéis	26
531	Kervrann	1
532	Kervrann. 	1
533	Kieffer	240
534	Kleine	65
535	Koch	944
536	Koun. Chapitre premier. Fonctionnement général du service. Chapitre II	0
537	Kérandel	0
538	L Bréaudat	0
539	L Touin	0
540	L'Herminier	8
541	L. Alexis	17
542	L. Boyé	1
543	L. Boyé 	1
544	L. Bréaudat	0
545	L. Colin 	0
546	L. Collin	6
547	L. Collin 	6
548	L. Fauchon	1
549	L. Fauré	9
550	L. Gaide	0
551	L. Hata	0
552	L. Mathis	2
553	L. Mul	0
554	L. Robert	739
555	L. Rogers	17
556	L. Stévenel 	17
557	L. Touin	0
558	L.Bréaudat	0
559	L.Mul	0
560	L.Rousseau	0
561	Labernadie	5
562	Labernadie. I	0
563	Lafage	42
564	Lafaurie	26
565	Lafforgue	72
566	Lafleur	76
567	Lafont	305
568	Laigret	7
569	Lalluyaux D'Ormay	0
570	Lalung-Bonnaire	0
571	Lamy	525
572	Lang	947
573	Laouilheau	0
574	Laquieze	10
575	Laquièze	10
576	Lasnet	4
577	Laurence	6083
578	Lauret	126
579	Laveran	4
580	Laveran 	4
581	Lavier	13
582	Le Bihan	192
583	Le Bourhis	37
584	Le Camus	40
585	Le Corre	178
586	Le Cousse	0
587	Le Dantec	60
588	Le Dentu	7
589	Le Gac	77
590	Le Huludut	1
591	Le Jollec	1
592	Le Moal	88
593	Le Moine	74
594	Le Pape	92
595	Le Ray	63
596	Le Rouzic	33
597	Leboeuf	79
598	Leclerc	754
599	Lecomte	572
600	Ledentu	7
601	Lefèvre	1066
602	Legendre (J.)	3
603	Leger	623
604	Lemasson	85
605	Lemoal	1
606	Lemoine	683
607	Lenoir	410
608	Leonard Rogers	6
609	Lespinasse	67
610	Letonturier	10
611	Lhomme	154
612	Lidin	12
613	Lieurade	3
614	Logerais	6
615	Lonjarret	2
616	Loste	13
617	Louis Collin	6
618	Louis Déjou	0
619	Louis Gouzien	1
620	Louis Lapayre	2
621	Louis Le Clech	1
622	Lucas	2058
623	Léger	623
624	Léon Collin	2
625	Léonard Rogers	6
626	Léopold Robert	11
627	Lépine	202
628	M	48814
629	M Collas	0
630	M. A Pairault	0
631	M. Bouillat	0
632	M. F. Guichard	0
633	M. G Lambert	1
634	M. J. D. Grieg	0
635	M. Kermorgant	0
636	M. L.Bréaudat	0
637	M. Lenoir	3
638	M. Peyre	2
639	M. Simond 	2
640	Hermann Wintz	0
642	M.-E Farinaud 	0
643	M.-E. Farinaud	1
644	M.-E. Farinaud 	1
645	J. R. P. Boulnois	0
646	Mainguy	54
647	Malouvier	3
648	Maltzer	0
649	Mantel	55
650	Marcel Leger	4
651	Marcel Léger	4
652	Marcel Robineau	1
653	Marchoux	3
654	Marchoux.	3
655	Marneffe	22
656	Marque	105
657	Martel	466
658	Martial	706
659	Martin	18460
660	Martinotti	11
661	Marty	698
662	Mas	581
663	Massiou	6
664	Mathis	279
665	Maurer	353
666	Maurice Cohen	6
667	Maurice Philaire	1
668	Maurice Rousseau	4
669	Mautret	5
670	Mazière	63
671	Mercier	1260
672	Merveilleux	19
673	Merveilleux. 	19
674	Merveilleux. Chapitre premier	0
675	Meslin	45
676	Mesnard	100
677	Mias	17
678	Millous	1
679	Miquel	576
680	Mirville	5
682	Mondon	72
683	Monfort	114
684	Montagné	235
685	Montel	112
686	Montel (M.-L.-R	112
687	Montestruc	1
688	Montfort	109
689	Moreau	1863
690	Morel	1477
691	Morel (A.-D.). A	0
692	Morel (A.-D.). C	0
693	Mouillac	11
694	Moulinard	7
695	Mouzels	0
696	Mul	14
697	Muraz	9
698	Mury	22
699	Métin	94
700	Métin(traduction)	94
701	N. -L. Huot 	94
702	Neiret	0
703	Noc	13
704	Nogue	32
705	Nogué	32
706	Normet	1
707	Nouaille-Degorce	5
708	Noêl Bernard	28
709	Noël	3215
710	Noël Bernard	28
711	Néel	116
712	Ochotine	0
713	Ortholan	6
714	Osw Goebel	0
715	Ott	333
716	Ouzilleau	4
717	P. Aubert	4
718	P. C. Flu 	4
719	P. Chesneau	1
720	P. Cordier	3
721	P. Dantec	0
722	P. Doreau	0
723	P. Dubroca	1
724	P. Ferré	2
725	P. Gouzien	0
726	P. Huard	1
727	P. Longe	0
728	P. Millous	0
729	P. Mouzels	0
730	P. Noël	17
731	P. Passa	0
732	P. Pétard	0
733	P. Rodes	0
734	P. Roussel	7
735	P. Sibenaler 	7
736	P.-L Simond	0
737	P.-L.-S Simond 	0
738	P.Gouzien	0
739	Pairault	17
740	Pales	8
741	Palmyr Cordier	1
742	Pannetier	65
743	Paul Gouzien	1
744	Paul Guérin	25
745	Paul Ravaut	1
746	Peirier	1
747	Peirrier	0
748	Pelletier	645
749	Peltier	273
750	Percheron	54
751	Perret	563
752	Perrier	567
753	Perrot	544
754	Perthuisot	9
755	Petit	2405
756	Peuduvallon	0
757	Peyre	218
758	Peyrot	87
759	Philaire	1
760	Phiquepal d'Arusmont	2
761	Pichon	381
762	Pichoy	0
763	Pierrat	63
764	Pierre (Louis-Édouard)	0
765	Pierre Chesneau	3
766	Pierre Dantec	5
767	Pierre Millous	0
768	Pierre Richet	3
769	Pignet	24
770	Pinard	137
771	Pons	773
772	Porot	18
773	Porte	306
774	Posada Berrio 	306
775	Pottier	257
776	Poullain	59
777	Poumayrac	2
778	Poumeyrac	0
779	Primet	9
780	Pujo	41
781	Pélissier	243
782	Péthellaz	1
783	R Montel	0
784	R. Beaudiment	0
785	R. Blanchard	3
786	R. E. Hoyt	0
787	R. Guilliny	0
788	R. Le Dentu	0
789	R. Lhomme	2
790	R. Montel	0
791	R. Pons	0
792	Rangé	22
793	Raoul Dumas	0
794	Raoul Violle	0
795	Raoult André	1
796	Rapuc	1
797	Rapuc. Climatologie 	1
798	Raynal	239
799	Raynau	0
800	Reboul	229
801	Reboul-Lachaux	1
802	Rebufat	9
803	Regnault	233
804	Renault	498
805	Rencurel	4
806	Retière	15
807	Rey	1251
808	Ribot	98
809	Richer	179
810	Rigollet	38
811	Ringenbach	23
812	Rivière	959
813	Rivoalen	11
814	Robert Koch	11
815	Robert Strauss	5
816	Robert W. Cruickshank	0
817	Robineau	97
818	Ronald Ross	5
819	Roquemaure	4
820	Roques	295
821	Roton	12
822	Roubaud	89
823	Rouffiandis	3
824	Rousseau	1340
825	Rousselot-Bénaud	1
826	Roussy	51
827	Roux	2232
828	Ruelle	81
829	Récamier	15
830	Rédaction des Annales	0
831	Régnier	381
832	Réland	6
833	Sadoul	34
834	Salanoue	2
835	Salanoue-Ifin	0
836	Salanoue-Ipin	2
837	Sambuc	22
838	Sanner	27
839	Sarrailhé	2
840	Sautarel	10
841	Sauzeau de Puyberneau	1
842	Savignac	54
843	Seguin	389
844	Semple	32
845	Simond	48
846	Sir William Leishmann	0
847	Sobre-Casas	1
848	Sorel	132
849	Spire	55
850	Suldey	1
851	Séguin	389
852	Sérez 	389
853	Talairach	6
854	Talbot	277
855	Talec	20
856	Tardif	144
857	Tedeschi	102
858	Texier	292
859	Thibault	1413
860	Thiroux	19
861	Thiéry	238
862	Thoulon	7
863	Thézé	20
864	Toubert	10
865	Touin	4
866	Toullec	48
867	Tournier	307
868	Traduction du Dr Morel (A.-D.)	0
869	Trautmann	73
870	Tédeschi	102
871	V. Brochard	0
872	V. Dufour	2
873	V. Dufour 	2
874	V. Huot	1
875	V. L. Huot	0
876	V. Labernadie	0
877	V. Petersen	7
878	V. Reynes	0
879	V. Rouffiandis	0
880	Vadon	27
881	Valassapoulo	0
882	Valence	76
883	Vall	39
884	Vallet	353
885	Vassal	89
886	Vassal (J.-J)	0
887	Vaucel	11
888	Vaysse	67
889	Vaysse 	67
890	Ventrillon	5
891	Verdier	513
892	Vergnes	104
893	Viala	180
894	Vielle	36
895	Vincens	64
896	Vivie	11
897	Vogel	619
898	W. Chamberlain 	619
899	Williams and Norgate	619
900	Y. Chaigneau	0
901	Yersin	16
902	Yves Chaigneau	2
903	Zéganadane André	0
904	de Boyer de Choisy	1
905	de Goyon	17
906	de Palmas	9
909	le Bourhis	37
910	le Fargier	0
