29	BAUJEAN (R.)	BAUJEAN	R.	https://www.idref.fr/Sru/Solr?q=persname_t:BAUJEAN%20R.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BAUJEAN%20AND%20R.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	3	0
30	BAUVALLET (H.)	BAUVALLET	H.	https://www.idref.fr/Sru/Solr?q=persname_t:BAUVALLET%20H.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BAUVALLET%20AND%20H.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	1	0
31	BAYEUX (R.)	BAYEUX	R.	https://www.idref.fr/Sru/Solr?q=persname_t:BAYEUX%20R.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BAYEUX%20AND%20R.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	29	0
34	BEAUJEAN (R.)	BEAUJEAN	R.	https://www.idref.fr/Sru/Solr?q=persname_t:BEAUJEAN%20R.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BEAUJEAN%20AND%20R.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	39	0
36	BEGUET (M.)	BEGUET	M.	https://www.idref.fr/Sru/Solr?q=persname_t:BEGUET%20M.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BEGUET%20AND%20M.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	18	0
38	BEKENSKY (P.W.)	BEKENSKY	P.W.	https://www.idref.fr/Sru/Solr?q=persname_t:BEKENSKY%20P.W.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BEKENSKY%20AND%20P.W.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0	0
39	BELITZER (A.W.)	BELITZER	A.W.	https://www.idref.fr/Sru/Solr?q=persname_t:BELITZER%20A.W.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BELITZER%20AND%20A.W.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0	0
42	BENAZET (L.)	BENAZET	L.	https://www.idref.fr/Sru/Solr?q=persname_t:BENAZET%20L.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BENAZET%20AND%20L.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	41	0
44	BEQUAERT (J.)	BEQUAERT	J.	https://www.idref.fr/Sru/Solr?q=persname_t:BEQUAERT%20J.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BEQUAERT%20AND%20J.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	4	0
45	BERNARD (P. NOËL)	BERNARD	P.NOËL	https://www.idref.fr/Sru/Solr?q=persname_t:BERNARD%20P.NOËL&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BERNARD%20AND%20P.NOËL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	17175	0
48	BIENASSIS (E.)	BIENASSIS	E.	https://www.idref.fr/Sru/Solr?q=persname_t:BIENASSIS%20E.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BIENASSIS%20AND%20E.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	6	0
