KOHL-YAKIMOFF (Nina)
KOLPAKOFF (F.-A.)
KOLPAKOFF (T.-A.)
KOPKE (A)
KORNILOFF (M.-T.)
KOSELKINE (P.-M.)
KOULECHIA
KOUN (L.)
KROLUNITZKI (G.)
LA CAVA (F.)
LABONNOTTE (X.)
LACASSAGNE (A.)
LACAZE (H.)
LACROIX (A.)
LAFONT (A.)
LAFONT (A.)
LAGANE (L.)
LAGRANGE (E.)
LAGRIFFOUL (A.)
LALUNG-BONNAIRE (P.)
LAMBERT (G.)
LAMBERT (P.)
LAMOUREUX (A.)
LANDES (L.)
LANFRANCHI (ALESSANDRO)
LANGERON (MAURICE)
LANZENBERG (A.)
LAPIN
LAPIN (J.)
LARROUSSE (F.)
LAUNOY()
LAURENT (A.)
LAVEAU (M.)
LAVERAN (Alphonse)
LAVIER (G.)
LE DANTEC (A.)
LE DENTU (A.)
LE GALLEN (R.)
LEBAILLY (CH.)
LEBŒUF (A.)
LECOMTE (A.)
LECOMTE (A.)
LEDOUX (ED.)
LEDUC (H.)
LEFROU ()
LEGENDRE (J.)
LEGER (A.)
LEGER (MARCEL)
LEGRAS (S.)
LEGROUX (R.)
LEMAIRE (G.)
LEMAIRE (H.)
LEMOINE (G.H.)
LESAGE (A.)
LETULLE (M.)
LEVADITI (C.)
LEVY (E.)
LIGNIÈRES (J.)
LIGNOS (A.)
LINDENBERG (A.)
LOMBARD()
LOSTIE (L.)
MACHADO (A.)
MACIEL (J.-J.)
MACIEL (J.)
MANAUD (A.)
MANCEAUX (L.)
MANDOUL (H.)
MANGENIE (S -E.)
MANSION (G)
MANSION (J.)
MANTOVANI (M.)
MARCANDIER (A.)
MARCHETTI (C.)
MARCHOUX (Emile)
MARIN()
MARQUE (J.-M.)
MARTIAL (R.)
MARTIN (Gustave)
MARTIN (Louis) 
MARTIN (Noël)
MARTINEZ (F.)
MARTY (L.)
MARULLAZ (M.)
MARZINOWSKY (E.-I.)
MARZINOWSKY (E.-J.)
MASSOL (L.)
MASSON (P.)
MATHIS (C.)
MATHIS (C.)
MATHON (CH.)
MATIGNON (J.-J.)
MATIGNON (J.J.)
MATTE (E.)
MAUCLAIRE
MCINTOSH (J.)
MEIRELLES (Z.)
MELISSIDIS (A.)
MELLO (U.)
MERCIER (L.)
MESINCESCU (D.)
MESLIN (CH.)
MESLIN (R.)
MESNIL (F.)
MICHAILIDIS (N.)
MICHELI (M.)
MIGLIANO (L)
MIGONE (L.-E.)
MIRAMOND DE LA ROQUETTE
MITTER (S.N.)
MOLDOVAN (J.)
MONFORT (F.)
MONNIER
MONOD (TH.)
MONTEL (Marie-Louis-René)
MONTFORT (F.)
MONTGOMERY (E.)
MONTHUS (A.)
MONTPELLIER (J.)
MOORE (A.)
MORAX (V.)
MOREAU (L.)
MORIN (G.-H )
MORSLY (T.)
MOTAIS (FRANÇOIS)
MOTAS (C. S.)
MOTY (F.)
MOUCHET (R.)
MOUZELS (P.)
MUNOZ (FERNANDO R )
MURAZ()
MUSSO (L.)
MUSSO (L.)
MUTERMILCH (ST.)
NEVEUX
NEWSTEAD (R.)
NICLOT
NICLOT (F.)
NICOLAS (CH.)
NICOLAS (E.)
NICOLLE (CHARLES)
NICOLLE (M.)
NIMIER
NOC (F.)
NOGUE (M.)
NOVY (F.G.)
NOWIKOFF (P.A.)
NUTTAL (H. F.)
O’ZOUX (L.L.)
OLDT (F.)
OLIVEAU (A.)
ORTHOLAN
ORTICONI (A.)
ORTICONI (L)
OUZILLEAU (F.)
PAISSEAU (G.)
PAMARET()
PARANHOS (U.)
PARFENTJEV ()
PAROÏSKY (P.S.)
PARROT (A.)
PARROT (L.)
PARVU
PASTEUR VALLERY-RADOT(Louis)
PATTON (W.S.)
PAUCOT (M.)
PÉCAUD (G.)
PEDROSO (A.)
PÉJU (G.)
PEKKOLA (W.)
PELLETIER (J.)
PETIT (G.)
PETTIT (A.)
PEZET (O.)
PHINGAULT (E.)
PHIPPS (F.-E.)
PHISALIX (MARIE)
PHOTINOS (GEORGES-TH.)
PHOTINOS (S.)
PICARD (F.)
PIGNET (M.)
PINOY (E.)
PIOT (A )
PIOT-BEY (J.-B.)
PIRAJA DA SILVA
PLANTIER (A.)
POIRSON (H.)
PONS (C.)
PONS (R.)
POROT (A.)
PORRY (E.)
POTTEVIN (H.)
POUJOL (J.)
POUPELAIN()
PRATES (M.M.)
PRIMET (E.)
PRIMET()
PRINGAULT (E.)
PUYHAUBERT(Alfred)
QUARELLI (G.)
R. ASSEO)
RAILLIET (A.)
RAVAUT (P.)
RAVAUT()
RAYNAUD (L.)
RAYNAUD (M.)
REGNAULT (F.)
REMLINGER (P.)
REMY (F. J.)
RÉPIN (CH.)
RHODAIN (J.)
